corpus	file	width	height	preset	quality	method	zen_bytes	lib_bytes	size_ratio	zen_encode_ms	lib_encode_ms	speed_ratio	zen_butter	lib_butter	butter_delta	zen_ssim2	lib_ssim2	ssim2_delta
cid22	146083.png	512	512	Default	50	4	35716	35718	0.999944	20.680	15.275	1.3539	3.6729	3.5285	0.1444	68.2696	68.2773	-0.0077
cid22	162511.png	512	512	Default	50	4	45568	45578	0.999781	21.846	16.905	1.2923	3.1403	3.0252	0.1151	65.3464	64.8444	0.5021
cid22	207691.png	512	512	Default	50	4	25346	25318	1.001106	18.578	13.330	1.3937	3.6899	3.5151	0.1747	65.7500	64.4753	1.2748
cid22	2290070.png	512	512	Default	50	4	13220	13110	1.008391	14.943	11.260	1.3271	3.5103	3.9310	-0.4207	67.3856	65.4030	1.9827
cid22	262780.png	512	512	Default	50	4	24206	24502	0.987919	17.872	13.755	1.2993	4.0655	3.9103	0.1552	54.0774	53.1610	0.9164
cid22	3316926_opo25u.png	512	512	Default	50	4	8642	8694	0.994019	14.916	11.087	1.3453	5.6416	5.1430	0.4986	66.0132	65.3050	0.7082
cid22	3779828.png	512	512	Default	50	4	41622	41522	1.002408	19.944	15.221	1.3103	2.9128	3.2668	-0.3540	64.5480	65.2546	-0.7066
cid22	5212582.png	512	512	Default	50	4	3504	3390	1.033628	11.449	8.693	1.3171	4.0687	4.2025	-0.1338	67.6199	67.3760	0.2438
cid22	675951.png	512	512	Default	50	4	19090	19216	0.993443	17.048	12.820	1.3298	4.5678	4.8046	-0.2368	67.8949	68.0238	-0.1289
cid22	962312.png	512	512	Default	50	4	25138	24926	1.008505	14.871	11.223	1.3250	2.9963	2.9299	0.0664	76.7708	76.4415	0.3293
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	50	4	21054	21026	1.001332	14.742	11.278	1.3071	6.0444	5.6116	0.4327	66.4681	66.8507	-0.3826
cid22	pexels-photo-2908983.png	512	512	Default	50	4	6588	6528	1.009191	13.928	10.126	1.3755	4.0330	4.3842	-0.3512	62.7068	61.2404	1.4664
cid22	pexels-photo-4672246.png	512	512	Default	50	4	13472	13378	1.007026	14.988	11.182	1.3403	4.4581	4.2531	0.2050	63.1117	61.9619	1.1497
cid22	1001682.png	512	512	Default	50	6	24076	24604	0.978540	38.403	31.821	1.2069	3.4591	3.6998	-0.2407	60.6546	60.7576	-0.1030
cid22	1200348.png	512	512	Default	50	6	8348	8262	1.010409	20.381	14.892	1.3686	4.8067	4.3944	0.4123	65.5001	64.8699	0.6302
cid22	146083.png	512	512	Default	50	6	32478	33230	0.977370	47.804	39.303	1.2163	3.3018	3.6289	-0.3272	67.1653	67.9690	-0.8037
cid22	162511.png	512	512	Default	50	6	42614	43308	0.983975	51.692	43.990	1.1751	3.0206	3.6104	-0.5898	64.5798	64.6183	-0.0386
cid22	207691.png	512	512	Default	50	6	23976	24074	0.995929	36.404	29.133	1.2496	4.2585	3.6200	0.6386	65.6514	64.3890	1.2623
cid22	2290070.png	512	512	Default	50	6	12564	12550	1.001116	25.664	20.749	1.2369	3.6629	4.3637	-0.7008	66.6138	65.4974	1.1164
cid22	262780.png	512	512	Default	50	6	21528	22374	0.962188	39.130	31.155	1.2560	4.1460	4.0178	0.1282	54.4962	54.0315	0.4648
cid22	3316926_opo25u.png	512	512	Default	50	6	8702	8486	1.025454	22.437	16.543	1.3563	5.3476	4.9414	0.4061	66.0778	65.1861	0.8918
cid22	3779828.png	512	512	Default	50	6	39476	40370	0.977855	50.371	42.148	1.1951	3.1090	3.0167	0.0923	64.2672	65.2001	-0.9329
cid22	5212582.png	512	512	Default	50	6	3524	3352	1.051313	14.364	10.362	1.3863	4.3319	3.9761	0.3558	67.8271	67.1980	0.6291
cid22	675951.png	512	512	Default	50	6	18606	18430	1.009550	30.295	22.933	1.3210	4.8530	4.8157	0.0374	68.4403	67.9816	0.4587
cid22	962312.png	512	512	Default	50	6	24280	24390	0.995490	30.722	25.555	1.2022	2.8609	3.2261	-0.3652	76.1468	75.3540	0.7928
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	50	6	20234	20422	0.990794	28.499	22.704	1.2552	5.4549	5.3849	0.0700	67.0256	66.7548	0.2708
cid22	pexels-photo-2908983.png	512	512	Default	50	6	6608	6466	1.021961	19.115	12.953	1.4758	4.6144	4.1223	0.4921	63.4745	61.9630	1.5115
cid22	pexels-photo-4672246.png	512	512	Default	50	6	12788	12686	1.008040	26.514	20.311	1.3054	3.9023	4.7778	-0.8755	62.5432	61.3071	1.2361
cid22	1001682.png	512	512	Default	75	0	37992	64672	0.587457	7.556	4.151	1.8204	2.6953	2.6974	-0.0020	70.1938	71.2617	-1.0678
cid22	1200348.png	512	512	Default	75	0	14130	17032	0.829615	5.415	2.631	2.0580	3.3384	3.6247	-0.2863	72.1103	72.4883	-0.3780
cid22	146083.png	512	512	Default	75	0	52746	56066	0.940784	8.968	5.091	1.7616	2.6286	3.7578	-1.1292	75.9057	75.7021	0.2036
cid22	162511.png	512	512	Default	75	0	67328	68512	0.982718	10.204	6.101	1.6725	2.4544	2.7063	-0.2519	72.9796	72.2863	0.6933
cid22	207691.png	512	512	Default	75	0	42730	44028	0.970519	7.905	4.234	1.8670	3.2091	2.8517	0.3574	72.3207	72.1465	0.1743
cid22	2290070.png	512	512	Default	75	0	23496	22678	1.036070	6.210	3.159	1.9658	3.1897	2.7949	0.3948	74.2443	74.7368	-0.4925
cid22	262780.png	512	512	Default	75	0	37652	39014	0.965089	7.463	3.876	1.9254	3.0687	2.9185	0.1502	66.8573	67.1388	-0.2815
cid22	3316926_opo25u.png	512	512	Default	75	0	14476	16042	0.902381	5.679	2.690	2.1109	3.4599	3.3243	0.1356	73.2340	73.5222	-0.2882
cid22	3779828.png	512	512	Default	75	0	61234	62160	0.985103	9.481	5.316	1.7834	2.3767	2.4511	-0.0744	74.0933	74.2869	-0.1936
cid22	5212582.png	512	512	Default	75	0	5522	5458	1.011726	4.816	2.054	2.3444	3.2676	3.6755	-0.4079	73.2053	72.7384	0.4669
cid22	675951.png	512	512	Default	75	0	31144	36004	0.865015	6.779	3.557	1.9059	3.4571	3.8202	-0.3631	74.9679	75.4208	-0.4529
cid22	962312.png	512	512	Default	75	0	33628	37128	0.905732	6.179	3.732	1.6555	2.2871	2.1313	0.1558	81.0865	81.3062	-0.2196
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	75	0	30512	32034	0.952488	6.454	3.580	1.8026	5.7170	5.6601	0.0569	73.1000	73.4388	-0.3388
cid22	pexels-photo-2908983.png	512	512	Default	75	0	10460	11068	0.945067	5.107	2.326	2.1957	3.1964	3.0856	0.1108	71.2889	71.9913	-0.7025
cid22	pexels-photo-4672246.png	512	512	Default	75	0	22430	24432	0.918058	6.023	3.161	1.9053	3.3046	3.1338	0.1708	70.6397	71.1860	-0.5464
cid22	1001682.png	512	512	Default	75	4	35868	35268	1.017013	19.263	14.421	1.3358	2.9447	2.8538	0.0909	70.3936	70.1296	0.2640
cid22	1200348.png	512	512	Default	75	4	11442	11330	1.009885	14.407	11.021	1.3072	3.1709	3.1823	-0.0114	72.5124	71.7830	0.7295
cid22	146083.png	512	512	Default	75	4	48820	48836	0.999672	21.392	16.130	1.3262	2.9793	2.3891	0.5902	76.1929	75.8128	0.3801
cid22	162511.png	512	512	Default	75	4	60168	60324	0.997414	22.471	16.972	1.3240	2.5424	2.4737	0.0687	72.8286	73.0459	-0.2173
cid22	207691.png	512	512	Default	75	4	34350	34480	0.996230	20.128	14.015	1.4362	2.8773	2.7517	0.1256	72.4444	72.7234	-0.2790
cid22	2290070.png	512	512	Default	75	4	17178	17214	0.997909	15.164	11.380	1.3326	2.9814	2.6064	0.3751	73.8251	73.4238	0.4012
cid22	262780.png	512	512	Default	75	4	35812	35922	0.996938	21.240	15.416	1.3778	3.1993	3.0683	0.1309	66.7547	66.7498	0.0049
cid22	3316926_opo25u.png	512	512	Default	75	4	11926	11886	1.003365	16.422	11.185	1.4682	3.5366	3.7704	-0.2338	73.1770	73.0384	0.1386
cid22	3779828.png	512	512	Default	75	4	53294	53654	0.993290	20.421	15.592	1.3097	2.2737	2.2787	-0.0050	73.8672	74.1672	-0.3001
cid22	5212582.png	512	512	Default	75	4	4738	4566	1.037670	12.871	9.583	1.3431	3.0454	3.6853	-0.6399	73.2053	73.0006	0.2048
cid22	675951.png	512	512	Default	75	4	25580	25290	1.011467	17.537	13.468	1.3022	3.3810	3.8888	-0.5079	74.7370	74.9608	-0.2237
cid22	962312.png	512	512	Default	75	4	29936	29962	0.999132	16.190	12.862	1.2587	2.0718	2.2032	-0.1314	81.0010	81.1512	-0.1501
cid22	klepas-Gentle-giants-of-the-sea-3.png	512	512	Default	75	4	26820	26628	1.007210	15.888	12.533	1.2677	5.9911	5.6733	0.3178	73.1642	73.5184	-0.3542
cid22	pexels-photo-2908983.png	512	512	Default	75	4	9026	9084	0.993615	14.057	10.295	1.3655	3.4375	3.7460	-0.3086	71.4927	70.6589	0.8338
