file	width	height	preset	q	m	zen_def_b	zen_strict_b	lib_b	def_butter	strict_butter	lib_butter	def_size_ratio	strict_size_ratio	def_butter_delta	strict_butter_delta
cid22/1080721.png	512	512	Default	25	4	9832	9908	9930	5.4375	5.2230	5.7418	0.9901	0.9978	-0.3043	-0.5189
cid22/1080721.png	512	512	Default	25	6	9256	9310	9336	5.3083	5.0646	5.2065	0.9914	0.9972	+0.1018	-0.1419
cid22/1080721.png	512	512	Default	75	0	25716	25716	26058	3.3087	3.3087	3.0071	0.9869	0.9869	+0.3016	+0.3016
cid22/1080721.png	512	512	Default	75	4	18654	18878	18740	3.2217	3.1282	3.1853	0.9954	1.0074	+0.0364	-0.0571
cid22/1080721.png	512	512	Default	75	6	17490	17778	17796	3.2940	3.0731	2.9156	0.9828	0.9990	+0.3784	+0.1576
cid22/1080721.png	512	512	Default	90	0	37018	37018	38948	1.5534	1.5534	1.6666	0.9504	0.9504	-0.1133	-0.1133
cid22/1080721.png	512	512	Default	90	4	36122	36700	36426	1.8236	1.8231	1.7938	0.9917	1.0075	+0.0298	+0.0293
cid22/1080721.png	512	512	Default	90	6	35242	35346	35442	1.6992	1.5056	1.5292	0.9944	0.9973	+0.1700	-0.0236
cid22/1080721.png	512	512	Photo	25	0	13676	13676	15238	6.0429	6.0429	6.1444	0.8975	0.8975	-0.1015	-0.1015
cid22/1080721.png	512	512	Photo	25	4	9416	9562	9468	6.0226	6.0006	5.4277	0.9945	1.0099	+0.5950	+0.5729
cid22/1080721.png	512	512	Photo	25	6	8920	9044	8930	5.8289	6.0961	6.1027	0.9989	1.0128	-0.2738	-0.0066
cid22/1080721.png	512	512	Photo	75	0	25090	25090	26958	3.2422	3.2422	2.7205	0.9307	0.9307	+0.5217	+0.5217
cid22/1080721.png	512	512	Photo	75	4	18238	18352	18286	2.9687	3.2595	2.8827	0.9974	1.0036	+0.0861	+0.3768
cid22/1080721.png	512	512	Photo	75	6	17254	17382	17454	3.4125	3.0655	2.8438	0.9885	0.9959	+0.5687	+0.2217
cid22/1080721.png	512	512	Photo	90	0	36872	36872	40016	1.6452	1.6452	1.7408	0.9214	0.9214	-0.0956	-0.0956
cid22/1080721.png	512	512	Photo	90	4	36416	36358	36930	1.7245	1.5677	1.8243	0.9861	0.9845	-0.0997	-0.2565
cid22/1080721.png	512	512	Photo	90	6	34814	34548	36186	1.7932	1.9944	1.9500	0.9621	0.9547	-0.1569	+0.0444
cid22/1082342.png	512	512	Default	25	0	20970	20970	23494	6.7292	6.7292	7.4126	0.8926	0.8926	-0.6834	-0.6834
cid22/1082342.png	512	512	Default	25	4	18064	18256	18208	7.7512	7.4092	6.4558	0.9921	1.0026	+1.2954	+0.9534
cid22/1082342.png	512	512	Default	25	6	17712	17772	17590	7.1249	6.3122	7.3692	1.0069	1.0103	-0.2443	-1.0571
cid22/1082342.png	512	512	Default	75	0	39258	39258	42952	3.2974	3.2974	3.2036	0.9140	0.9140	+0.0938	+0.0938
cid22/1082342.png	512	512	Default	75	4	35282	35538	35240	3.2971	3.3820	3.1844	1.0012	1.0085	+0.1127	+0.1976
cid22/1082342.png	512	512	Default	75	6	34524	34486	34284	3.2205	3.2927	3.0554	1.0070	1.0059	+0.1651	+0.2373
cid22/1082342.png	512	512	Default	90	0	63210	63210	68238	2.0115	2.0115	2.1254	0.9263	0.9263	-0.1139	-0.1139
cid22/1082342.png	512	512	Default	90	4	63036	63030	62440	2.0608	1.9827	2.0408	1.0095	1.0094	+0.0200	-0.0581
cid22/1082342.png	512	512	Default	90	6	61718	61634	61294	2.0286	1.9912	2.4608	1.0069	1.0055	-0.4322	-0.4696
cid22/1082342.png	512	512	Photo	25	0	20082	20082	22906	6.9082	6.9082	8.1095	0.8767	0.8767	-1.2013	-1.2013
cid22/1082342.png	512	512	Photo	25	4	17164	17512	17408	7.1515	7.3963	7.1656	0.9860	1.0060	-0.0142	+0.2307
cid22/1082342.png	512	512	Photo	25	6	16984	17090	16864	6.9604	6.5684	7.5597	1.0071	1.0134	-0.5993	-0.9914
cid22/1082342.png	512	512	Photo	75	0	38152	38152	42354	3.3058	3.3058	3.9005	0.9008	0.9008	-0.5947	-0.5947
cid22/1082342.png	512	512	Photo	75	4	34426	34422	34168	3.6089	3.4964	3.4980	1.0076	1.0074	+0.1108	-0.0017
